Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	56	1.8%	No
IGBP1P1		14q13.2	AMP	5	886	0.6%	No
ZNF728		19p12	HOMDEL	5	1062	0.5%	No
LINC02225		5q11.2	HOMDEL	4	523	0.8%	No
KCTD10		12q24.11	AMP	2	902	0.2%	No
LINC02901		6q25.3	AMP	9	1118	0.8%	No
MAPK9		5q35.3	HOMDEL	2	1062	0.2%	No
KCTD10		12q24.11	HOMDEL	1	539	0.2%	No
TAF8		6p21.1	HOMDEL	2	1062	0.2%	No
PALM2AKAP2		9q31.3	AMP	3	1062	0.3%	No
C11ORF53		11q23.1	AMP	5	1537	0.3%	No
C20ORF27		20p13	AMP	27	1425	1.9%	No
HNRNPA1P57		2p22.1	HOMDEL	1	539	0.2%	No
NAT2		8p22	HOMDEL	45	1537	2.9%	No
TMEM38A		19p13.11	AMP	66	1537	4.3%	No
SEMA6D		15q21.1	AMP	2	112	1.8%	No
ERMN		2q24.1	AMP	1	539	0.2%	No
OXR1		8q23.1	AMP	74	1537	4.8%	No
ZNF883		9q32	AMP	9	1062	0.8%	No
AQP6		12q13.12	AMP	9	1537	0.6%	No
LINC01238		2q37.3	HOMDEL	3	523	0.6%	No
ZNF862		7q36.1	AMP	6	651	0.9%	No
GIMAP2		7q36.1	AMP	6	1174	0.5%	No
B3GALT6		1p36.33	AMP	8	1481	0.5%	No
CRLF3		17q11.2	AMP	9	1118	0.8%	No
BROX		1q41	AMP	45	1537	2.9%	No
SNX25		4q35.1	AMP	2	902	0.2%	No
TRIM27		6p22.1	HOMDEL	1	539	0.2%	Yes
TMEM120B		12q24.31	AMP	22	1425	1.5%	No
AOC3		17q21.31	HOMDEL	1	539	0.2%	No
TP53TG3HP		16p11.1	AMP	11	579	1.9%	No
NSMF		9q34.3	HOMDEL	3	902	0.3%	No
PRKDC		8q11.21	HOMDEL	4	475	0.8%	Yes
C8ORF34-AS1		8q13.2	HOMDEL	1	56	1.8%	No
C9ORF64		9q21.32	HOMDEL	4	902	0.4%	No
ZNF114		19q13.33	HOMDEL	5	1062	0.5%	No
TSEN34		19q13.42	AMP	20	1537	1.3%	No
MTERF2		12q23.3	AMP	4	1425	0.3%	No
LRRC37A4P		17q21.31	AMP	12	1537	0.8%	No
KRTAP10-10		21q22.3	HOMDEL	2	886	0.2%	No
CNOT6		5q35.3	AMP	12	1537	0.8%	No
SGK2		20q13.12	HOMDEL	1	539	0.2%	No
MIR3945HG		4q35.1	HOMDEL	7	579	1.2%	No
SMC1A		Xp11.22	HOMDEL	5	1425	0.4%	Yes
SNORD3C		17p11.2	HOMDEL	5	595	0.8%	No
AQP7		9p13.3	AMP	12	1425	0.8%	No
RNY4		7q36.1	HOMDEL	2	902	0.2%	No
ANKRD20A19P		13q12.12	AMP	2	1062	0.2%	No
LINC02901		6q25.3	HOMDEL	2	1062	0.2%	No
SRARP		1p36.13	AMP	28	1537	1.8%	No
FOXR1		11q23.3	AMP	26	1537	1.7%	No
POT1		7q31.33	HOMDEL	4	1425	0.3%	Yes
TRBV30		7q34	AMP	5	595	0.8%	No
MRPS2		9q34.3	AMP	3	1062	0.3%	No
DAZAP1		19p13.3	HOMDEL	7	1425	0.5%	Yes
SACS		13q12.12	HOMDEL	2	1062	0.2%	No
RSL1D1		16p13.13	AMP	20	1537	1.3%	No
PWAR5		15q11.2	HOMDEL	4	579	0.7%	No
LINC01494		2q35	AMP	5	579	0.9%	No
SYNC		1p35.1	AMP	30	1425	2.1%	No
GSX2		4q12	AMP	6	1537	0.4%	No
RNA5SP345		11q21	HOMDEL	3	539	0.6%	No
THG1L		5q33.3	AMP	7	1537	0.5%	No
ZNF512B		20q13.33	AMP	66	1537	4.3%	No
KRTAP25-1		21q22.11	AMP	3	886	0.3%	No
RNF31		14q12	AMP	10	1537	0.7%	No
TRIM64B		11q14.3	AMP	6	1062	0.6%	No
ZNF571-AS1		19q13.12	HOMDEL	1	523	0.2%	No
CILP		15q22.31	HOMDEL	3	1062	0.3%	No
FAM200B		4p15.32	AMP	15	1481	1.0%	No
CLGN		4q31.1	HOMDEL	5	1425	0.4%	No
TMED6		16q22.1	HOMDEL	20	1425	1.4%	No
RMDN1		8q21.3	AMP	40	1537	2.6%	No
SMIM26		20p11.23	HOMDEL	4	1062	0.4%	No
TMEM131L		4q31.3	HOMDEL	6	1425	0.4%	No
AR		Xq12	AMP	9	1537	0.6%	Yes
CFHR5		1q31.3	AMP	46	1425	3.2%	No
NOC2L		1p36.33	AMP	8	1481	0.5%	No
ADAM1A		12q24.12-q24.13	HOMDEL	2	539	0.4%	No
MTND1P15		17p11.2	AMP	8	595	1.3%	No
LINC01372		7q11.21	AMP	5	523	1.0%	No
TRIM16		17p12	HOMDEL	8	1425	0.6%	No
RN7SL561P		20p13	HOMDEL	1	539	0.2%	No
CPNE8		12q12	AMP	18	1537	1.2%	No
RNA5SP331		11p15.2	HOMDEL	1	539	0.2%	No
OR5P3		11p15.4	HOMDEL	3	1062	0.3%	No
PALM2AKAP2		9q31.3	HOMDEL	7	902	0.8%	No
ZNF490		19p13.2-p13.13	AMP	64	1537	4.2%	No
INTS11		1p36.33	AMP	8	1481	0.5%	No
ADA		20q13.12	AMP	43	1537	2.8%	No
RN7SL584P		15q11.1	AMP	1	56	1.8%	No
C9ORF40		9q21.13	AMP	2	1062	0.2%	No
TRBV28		7q34	AMP	5	595	0.8%	No
KRTAP3-1		17q21.2	AMP	7	942	0.7%	No
SSTR5-AS1		16p13.3	HOMDEL	5	579	0.9%	No
ABCC6		16p13.11	AMP	17	1537	1.1%	No
SSX8P		Xp11.22	AMP	10	942	1.1%	No
LINC01954		2p25.1	AMP	7	579	1.2%	No
ADAM10		15q21.3	AMP	3	1425	0.2%	No
UTP11		1p34.3	AMP	22	1481	1.5%	No
CNGB3		8q21.3	AMP	43	1537	2.8%	No
FAM76B		11q21	HOMDEL	9	1425	0.6%	No
ANP32A-IT1		15q23	AMP	7	942	0.7%	No
NKPD1		19q13.32	AMP	28	1174	2.4%	No
LINC01882		18p11.21	AMP	7	579	1.2%	No
ADAM8		10q26.3	AMP	14	1425	1.0%	No
CERNA1		15q21.2	AMP	2	579	0.3%	No
RNA5SP299		10p14	AMP	5	539	0.9%	No
PTK2		8q24.3	HOMDEL	3	1425	0.2%	No
CCNL1		3q25.31	HOMDEL	3	1425	0.2%	No
CDK6		7q21.2	HOMDEL	1	523	0.2%	Yes
SCOC-AS1		4q31.1	HOMDEL	2	523	0.4%	No
HMGN4		6p22.2	AMP	15	1537	1.0%	No
KRTAP1-5		17q21.2	AMP	7	942	0.7%	No
ARAF		Xp11.3	AMP	32	1537	2.1%	Yes
TRIM38		6p22.2	AMP	16	1537	1.0%	No
ADAR		1q21.3	AMP	83	1537	5.4%	No
WDR45B		17q25.3	AMP	21	1537	1.4%	No
CNKSR1		1p36.11	HOMDEL	7	1481	0.5%	No
PPP1R37		19q13.32	AMP	37	1174	3.2%	No
COQ4		9q34.11	AMP	13	1537	0.8%	No
RN7SKP62		5q21.1	HOMDEL	3	539	0.6%	No
PAN3-AS1		13q12.2	AMP	1	523	0.2%	No
APOBR		16p12.1	AMP	16	1537	1.0%	No
RN7SKP3		13q14.12	HOMDEL	3	595	0.5%	No
ZNF488		10q11.22	HOMDEL	5	1425	0.4%	No
NUPR2		7p11.2	AMP	10	1062	0.9%	No
OR7E24		19p13.2	HOMDEL	5	1062	0.5%	No
BARX1		9q22.32	HOMDEL	6	902	0.7%	No
ZNF671		19q13.43	HOMDEL	2	1062	0.2%	No
TADA3		3p25.3	AMP	11	1537	0.7%	No
LINC01135		1p32.1	AMP	2	579	0.3%	No
HAPLN3		15q26.1	AMP	16	1425	1.1%	No
BCAM		19q13.32	HOMDEL	2	1062	0.2%	No
TRPM3		9q21.12-q21.13	AMP	5	1062	0.5%	No
CXORF49B		Xq13.1	HOMDEL	1	539	0.2%	No
RN7SL108P		14q24.1	HOMDEL	4	539	0.7%	No
PLAAT2		11q12.3	AMP	28	1537	1.8%	No
SSX6P		Xp11.23	AMP	26	1481	1.8%	No
TTC29		4q31.22	AMP	11	1425	0.8%	No
BEX4		Xq22.1	AMP	3	1062	0.3%	No
RNA5SP189		5q21.3	HOMDEL	3	539	0.6%	No
MTMR7		8p22	HOMDEL	47	1537	3.1%	No
CCM2L		20q11.21	AMP	91	1537	5.9%	No
ADARB1		21q22.3	AMP	20	1537	1.3%	No
CD99P1		Xp22.33 and Yp11.31	AMP	2	539	0.4%	No
LINC00616		4q28.3	HOMDEL	4	1062	0.4%	No
NEBL-AS1		10p12.31	AMP	3	523	0.6%	No
TMEM45A		3q12.2	AMP	17	1537	1.1%	No
NBAS		2p24.3	HOMDEL	5	651	0.8%	No
KCTD15		19q13.11	AMP	73	1537	4.7%	No
PFDN6		6p21.32	AMP	14	1425	1.0%	No
LINC01189		9q13	AMP	4	523	0.8%	No
RNA5SP76		1q41	AMP	16	595	2.7%	No
HEXB		5q13.3	HOMDEL	10	1425	0.7%	No
IFITM1		11p15.5	HOMDEL	14	1537	0.9%	No
RNA5SP301		10p13	AMP	13	595	2.2%	No
SLC35F6		2p23.3	AMP	29	1537	1.9%	No
SH3GL2		9p22.2	HOMDEL	4	1425	0.3%	No
