"bin"	"chrom"	"chromStart"	"chromEnd"
23	"chr1"	122026459	124932724
13	"chr10"	39686682	41593521
15	"chr11"	51078348	54425074
13	"chr12"	34769407	37185252
1	"chr13"	16000000	18051248
1	"chr14"	16000000	18173523
11	"chr15"	17083673	19725254
13	"chr16"	36311158	38265669
1	"chr17"	22813679	26616164
1	"chr18"	15460899	20861206
1	"chr19"	24498980	27190874
2	"chr2"	92188145	94090557
12	"chr20"	26436232	30038348
10	"chr21"	10864560	12915808
10	"chr22"	12954788	15054318
2	"chr3"	90772458	93655574
1	"chr4"	49712061	51743951
14	"chr5"	46485900	50059807
1	"chr6"	58553888	59829934
1	"chr7"	58169653	61528020
14	"chr8"	44033744	45877265
14	"chr9"	43389635	45518558
1	"chrX"	58605579	62412542
10	"chrY"	10316944	10544039
